AP_name,Floor,x,y,z (floor),z (AP_height)
AP-C-1F-01,1,15.4,0,0,2.5
AP-C-2F-01,2,25.1,0,3.6,6.1
AP-C-2F-02,2,13.5,0,3.6,6.1
AP-C-2F-03,2,26,-5.6,3.6,6.1
AP-C-3F-01,3,-1.9,-11.2,7.2,9.7
AP-C-3F-02,3,30.1,0,7.2,9.7
AP-C-3F-03,3,20.8,0,7.2,9.7
AP-C-3F-04,3,9.1,0,7.2,9.7
AP-C-4F-01,4,-1.9,-11.2,10.8,13.3
AP-C-4F-02,4,30.1,0,10.8,13.3
AP-C-4F-03,4,20.8,0,10.8,13.3
AP-C-4F-04,4,9.2,0,10.8,13.3
AP-C-5F-01,5,-1.9,-11.2,14.4,16.9
AP-C-5F-02,5,32.2,0,14.4,16.9
AP-C-5F-03,5,23,0,14.4,16.9
AP-C-5F-04,5,9.1,0,14.4,16.9
AP-C-6F-01,6,-1.9,-11.2,18,20.5
AP-C-6F-02,6,31.8,0,18,20.5
AP-C-6F-03,6,22.9,0,18,20.5
AP-C-6F-04,6,9.2,0,18,20.5
AP-C1-1F-01,1,32.4,22.2,0,2.5
AP-C1-1F-02,1,34,25.5,0,2.5
AP-C1-2F-01,2,33.6,20.6,3.6,6.1
AP-C1-2F-02,2,43.6,30.3,3.6,6.1
AP-C1-2F-03,2,30,23.2,3.6,6.1
AP-C1-3F-01,3,31.5,15.8,7.2,9.7
AP-C1-3F-02,3,34,23.2,7.2,9.7
AP-C1-3F-03,3,27.4,26.4,7.2,9.7
AP-C1-4F-01,4,36.3,18.3,10.8,13.3
AP-C1-4F-02,4,31.8,21.8,10.8,13.3
AP-C2-1F-01,1,0,22.7,0,2.5
AP-C2-1F-02,1,0,29.8,0,2.5
AP-C2-1F-03,1,0,41.7,0,2.5
AP-C2-2F-01,2,0,19.1,3.6,6.1
AP-C2-2F-02,2,0,29.9,3.6,6.1
AP-C2-2F-03,2,0,44.1,3.6,6.1
AP-C2-3F-01,3,0,15.6,7.2,9.7
AP-C2-3F-02,3,0,30.7,7.2,9.7
AP-C2-3F-03,3,0,44.2,7.2,9.7
AP-C2-4F-01,4,0,22.6,10.8,13.3
AP-C2-4F-02,4,0,30,10.8,13.3
AP-C2-4F-03,4,0,41.7,10.8,13.3
AP-C2-5F-01,5,0,22.3,14.4,16.9
AP-C2-5F-02,5,0,30,14.4,16.9
AP-C2-5F-03,5,0,41.7,14.4,16.9
AP-C2-6F-01,6,0,22.3,18,20.5
AP-C2-6F-02,6,0,30,18,20.5
