Floor,Building,Location index,x,y,z (floor),z (device_height)
3,C,a,32,0,7.2,8.2
3,C,b,30,0,7.2,8.2
3,C,c,28,0,7.2,8.2
3,C,d,26,0,7.2,8.2
3,C,e,24,0,7.2,8.2
3,C,f,22,0,7.2,8.2
3,C,g,20,0,7.2,8.2
3,C,h,18,0,7.2,8.2
3,C,i,16,0,7.2,8.2
3,C,j,14,0,7.2,8.2
3,C,k,12,0,7.2,8.2
3,C,l,10,0,7.2,8.2
3,C,m,8,0,7.2,8.2
3,C,n,6,0,7.2,8.2
3,C,o,4,0,7.2,8.2
3,C,p,2,0,7.2,8.2
3,C,q,0,0,7.2,8.2
3,C2,r,0,2,7.2,8.2
3,C2,s,0,4,7.2,8.2
3,C2,t,0,6,7.2,8.2
3,C2,u,0,8,7.2,8.2
3,C2,v,0,10,7.2,8.2
3,C2,w,0,12,7.2,8.2
3,C2,x,0,14,7.2,8.2
3,C2,y,0,16,7.2,8.2
3,C2,z,0,18,7.2,8.2
3,C2,aa,0,20,7.2,8.2
3,C2,ab,0,22,7.2,8.2
3,C2,ac,0,24,7.2,8.2
3,C2,ad,0,26,7.2,8.2
3,C2,ae,0,28,7.2,8.2
3,C2,af,0,30,7.2,8.2
3,C2,ag,0,32,7.2,8.2
3,C2,ah,0,34,7.2,8.2
3,C2,ai,0,36,7.2,8.2
3,C2,aj,0,38,7.2,8.2
3,C2,ak,0,40,7.2,8.2
3,C2,al,0,42,7.2,8.2
3,C2,am,0,44,7.2,8.2
3,C2,an,0,46,7.2,8.2
3,C2,ao,0,48,7.2,8.2
3,C2,ap,0,50,7.2,8.2
3,C2,aq,0,52,7.2,8.2
3,C2,ar,0,54,7.2,8.2
3,C2,as,0,56,7.2,8.2
3,C3,at,2,56,7.2,8.2
3,C3,au,4,56,7.2,8.2
3,C3,av,6,56,7.2,8.2
3,C3,aw,8,56,7.2,8.2
3,C3,ax,10,56,7.2,8.2
3,C3,ay,12,56,7.2,8.2
3,C3,az,14,56,7.2,8.2
3,C3,ba,16,56,7.2,8.2
3,C3,bb,18,56,7.2,8.2
3,C3,bc,20,56,7.2,8.2
3,C3,bd,22,56,7.2,8.2
3,C3,be,24,56,7.2,8.2
3,C3,bf,26,56,7.2,8.2
3,C3,bg,28,56,7.2,8.2
