Floor,Location index,AVE (dBm),MED (dBm),Center Freq(MHz),Counts (/100),AP_name
3,a,-62.71111111,-62,2437,45,AP-C-2F-01
3,a,-76,-76,2437,7,AP-C-2F-02
3,a,-36.45,-36,2437,100,AP-C-3F-02
3,a,-61.61,-63,2437,100,AP-C-3F-03
3,a,-61.62365591,-62,2437,93,AP-C-3F-04
3,a,-57.45,-58,2437,100,AP-C-4F-02
3,a,-77.33333333,-76,2437,21,AP-C-4F-03
3,a,-86,-86,2437,55,AP-C-4F-04
3,a,-79,-79,2437,55,AP-C-5F-02
3,a,-79,-79,2437,55,AP-C-5F-03
3,a,-79,-79,2437,10,AP-C1-2F-01
3,a,-60.21,-60,2437,100,AP-C1-3F-01
3,a,-87.7311828,-88,5180,93,AP-C-2F-01
3,a,-58.11,-58,5180,100,AP-C-3F-02
3,a,-68.01,-68,5180,100,AP-C-3F-03
3,a,-77.01449275,-76,5180,69,AP-C-3F-04
3,a,-75.33333333,-75,5180,21,AP-C-4F-02
3,a,-87.86666667,-88,5180,45,AP-C-4F-03
3,a,-66.83544304,-67,5180,79,AP-C1-3F-01
3,aa,-77.54166667,-78,2437,24,AP-C-3F-01
3,aa,-73.19354839,-73,2437,31,AP-C2-1F-01
3,aa,-81.46666667,-82,2437,30,AP-C2-1F-02
3,aa,-56.56989247,-56,2437,93,AP-C2-2F-01
3,aa,-64.17,-64,2437,100,AP-C2-2F-02
3,aa,-55.55913978,-56,2437,93,AP-C2-3F-01
3,aa,-59.63,-60,2437,100,AP-C2-3F-02
3,aa,-57.58139535,-57,2437,86,AP-C2-3F-03
3,aa,-55.21,-55,2437,100,AP-C2-4F-01
3,aa,-73.95698925,-74,2437,93,AP-C2-4F-02
3,aa,-81.66666667,-81.5,2437,42,AP-C2-4F-03
3,aa,-73,-73,2437,35,AP-C2-5F-01
3,aa,-79.16216216,-79,2437,37,AP-C2-5F-02
3,aa,-83.53846154,-84,2437,13,AP-C2-6F-01
3,aa,-82,-82,2437,7,AP-C3-3F-03
3,aa,-67.7,-67,5180,100,AP-C2-2F-01
3,aa,-88.625,-88.5,5180,56,AP-C2-2F-02
3,aa,-63.05,-63,5180,100,AP-C2-3F-01
3,aa,-70.34,-71,5180,100,AP-C2-3F-02
3,aa,-70.3,-70,5180,100,AP-C2-3F-03
3,aa,-77.4,-78,5180,10,AP-C2-4F-01
3,ab,-77.5,-77.5,2437,14,AP-C-3F-01
3,ab,-61.40697674,-61,2437,86,AP-C2-1F-01
3,ab,-81,-81,2437,7,AP-C2-1F-02
3,ab,-86,-86,2437,7,AP-C2-1F-03
3,ab,-59.4516129,-60,2437,93,AP-C2-2F-01
3,ab,-67.33333333,-67,2437,84,AP-C2-2F-02
3,ab,-78.76666667,-79,2437,30,AP-C2-2F-03
3,ab,-52.28,-53,2437,100,AP-C2-3F-01
3,ab,-51.4,-50,2437,100,AP-C2-3F-02
3,ab,-64.72307692,-66,2437,65,AP-C2-3F-03
3,ab,-57.93,-58,2437,100,AP-C2-4F-01
3,ab,-63.80645161,-63,2437,93,AP-C2-4F-02
3,ab,-73.44827586,-72,2437,58,AP-C2-4F-03
3,ab,-72.64864865,-74,2437,37,AP-C2-5F-01
3,ab,-80.75675676,-81,2437,37,AP-C2-5F-02
3,ab,-86,-86,2437,7,AP-C2-5F-03
3,ab,-81.4,-82,2437,35,AP-C3-3F-03
3,ab,-78.98611111,-80,5180,72,AP-C2-2F-01
3,ab,-87.43037975,-87,5180,79,AP-C2-2F-02
3,ab,-68.56962025,-68,5180,79,AP-C2-3F-01
3,ac,-80.83333333,-81,2437,42,AP-C-3F-01
3,ac,-71.23076923,-72,2437,65,AP-C2-1F-01
3,ac,-82,-82,2437,7,AP-C2-1F-02
3,ac,-61.11,-61,2437,100,AP-C2-2F-01
3,ac,-62.38,-63,2437,100,AP-C2-2F-02
3,ac,-72.8,-72,2437,35,AP-C2-2F-03
3,ac,-63.60465116,-64,2437,86,AP-C2-3F-01
3,ac,-50.37,-50,2437,100,AP-C2-3F-02
3,ac,-63.34,-63,2437,100,AP-C2-3F-03
3,ac,-60.34408602,-60,2437,93,AP-C2-4F-01
3,ac,-75.66666667,-76.5,2437,84,AP-C2-4F-02
3,ac,-70.44444444,-70,2437,63,AP-C2-4F-03
3,ac,-81.8,-84,2437,35,AP-C2-5F-01
3,ac,-64.71428571,-65,2437,49,AP-C2-5F-02
3,ac,-84,-83,2437,21,AP-C2-5F-03
3,ac,-86,-86,2437,7,AP-C2-6F-01
3,ac,-84.33333333,-84,2437,21,AP-C2-6F-02
3,ac,-81,-81,2437,14,AP-C3-3F-03
3,ac,-92,-92,5180,7,AP-C2-1F-01
3,ac,-82.86075949,-83,5180,79,AP-C2-2F-01
3,ac,-81,-81,5180,15,AP-C2-2F-02
3,ad,-77,-77,2437,14,AP-C-3F-01
3,ad,-84,-84,2437,14,AP-C2-1F-01
3,ad,-83.875,-83,2437,16,AP-C2-1F-02
3,ad,-75.83544304,-76,2437,79,AP-C2-2F-01
3,ad,-56.68,-57,2437,100,AP-C2-2F-02
3,ad,-81.85714286,-81,2437,49,AP-C2-2F-03
3,ad,-62.84810127,-64,2437,79,AP-C2-3F-01
3,ad,-45.42,-45,2437,100,AP-C2-3F-02
3,ad,-63.06,-63,2437,100,AP-C2-3F-03
3,ad,-62.24731183,-62,2437,93,AP-C2-4F-01
3,ad,-63.50537634,-64,2437,93,AP-C2-4F-02
3,ad,-69.97468354,-70,2437,79,AP-C2-4F-03
3,ad,-71.97727273,-72,2437,44,AP-C2-5F-01
3,ad,-75.04615385,-75,2437,65,AP-C2-5F-02
3,ad,-86.41176471,-86,2437,51,AP-C2-5F-03
3,ad,-78.9,-80,2437,30,AP-C3-3F-03
3,ad,-87.54545455,-88,5180,77,AP-C2-2F-01
3,ad,-79.5,-78,5180,86,AP-C2-2F-02
3,ad,-90.5,-90.5,5180,14,AP-C2-2F-03
3,ad,-76.65,-77,5180,20,AP-C2-3F-01
3,ae,-77.5,-77.5,2437,14,AP-C-3F-01
3,ae,-77.2173913,-77,2437,23,AP-C2-1F-01
3,ae,-69.46666667,-69,2437,30,AP-C2-1F-02
3,ae,-86,-86,2437,7,AP-C2-1F-03
3,ae,-74.66666667,-75.5,2437,42,AP-C2-2F-01
3,ae,-56.43010753,-56,2437,93,AP-C2-2F-02
3,ae,-75.2,-75,2437,35,AP-C2-2F-03
